League Name,,defense,possession,creativity,progression,crossing,explosive,attacking,setpiece,gkbuildup,excitement,Cluster,x,y,Distance to 1.Div
Danish 2. Division,Danish 2. Division,-0.412562562,0.536791865,-0.372025737,1.094033586,0.295287142,-0.416573368,-0.172759811,-0.565557875,0.337715586,-0.014813151,5,1.3433365,4.57874,9.10306172
Danish 3. Division,Danish 3. Division,-0.582615476,0.775409298,-0.151848986,1.146829615,-0.357179743,-0.188182177,0.085554072,-0.563987639,0.730250225,0.175039935,5,1.1923733,5.1590095,8.603631342
Danish U15 Ligaen,,-0.913567823,0.521988125,1.388890076,2.174602663,-0.900700967,0.555084249,3.66546689,-0.071208598,2.327047967,2.033861076,2,-5.4986753,18.538269,7.767099338
Danish U17 Division,,-1.024360652,0.428772795,0.973312489,1.101208076,-1.432674409,1.290740782,1.284423333,-0.277647185,2.395327503,1.06210811,2,-6.9979334,18.9351,8.331278471
Danish U17 Ligaen,,-1.109884894,1.467754143,1.266364662,1.384989095,-1.148439623,1.15913199,1.66031635,-0.637336072,2.346956614,1.264003057,2,-6.8854465,18.186588,7.575518705
Danish U19 Division,,-1.318981784,0.800317248,0.599020971,0.987396459,-0.939091884,0.791445161,0.887418294,-0.347663321,2.167822949,0.628983778,2,-7.7863674,18.657911,8.259438579
Danish U19 Ligaen,,-1.326446575,1.845201492,0.77766134,1.102928374,-0.734495452,0.586527633,1.133737582,-0.476046724,2.255191206,0.740733789,2,-7.745222,17.990479,7.611695342
Ecuador Liga Pro,Ecuador Liga Pro,0.122323188,-0.335270112,-0.172392973,-1.02614328,-0.109219265,-0.663680583,-0.579886822,-0.181365241,-0.586662594,-0.483339216,10,0.027256154,-7.8772273,19.40369947
Eerste Divisie,Eerste Divisie,-0.391226499,0.794873016,0.859198055,1.325085341,0.77382881,0.40082985,0.783066697,-0.119965478,0.322178364,0.903503052,7,-4.533532,11.274959,0.93904918
Egyptian Premier League,Egyptian Premier League,0.115113324,-0.336486088,-0.797410154,-0.334384821,-0.199850027,-0.565961906,-0.972919108,-0.946886262,-1.12799106,-0.594275126,14,-0.14397083,-9.378771,20.80774599
